"","blockgroupID","mural_presence","log_income","pop","area","black_prop","vacantprop","comresprop","povertymetric"
"1","1_1","1",10.9371167768275,1633,2640353.266,0.067360686,0.003179076,0.560541033,0.114002136
"2","1_2","1",11.6291339283047,1845,4935554.147,0.052574526,0.008789604,0.480230165,0.118940117
"3","10.01_1","0",11.5672242383776,1562,1314033.904,0.018565941,0,0.547017501,0.098280866
"4","10.01_2","1",11.2655916748548,1041,1151131.086,0.036503362,0.000464869,0.139284254,0.160185392
"5","10.02_1","0",11.0350186879613,1429,2069981.834,0.020293912,0.024737297,0.287075077,0.059804409
"6","10.02_2","0",11.5487075806099,655,754607.1032,0.010687023,0.015547334,0.067870648,0.038981753
"7","10.02_3","0",11.4380941543472,1528,2243923.608,0.037303665,0,0.323529126,0.09856858
"8","100_1","0",9.2681374707024,1252,1260206.471,0.82428115,0.011863852,0.033698171,0.52619098
"9","100_2","0",10.1433702198546,746,779814.1184,0.813672922,0.00944645,0.051250838,0.117599759
"10","100_3","0",9.99811568161491,734,675374.5742,0.861035422,0.003587685,0.040137502,0.278555891
"11","100_4","0",9.8382020858375,1634,2634901.09,0.828029376,0.012861391,0.225593346,0.172128368
"12","101_1","0",9.74922853350706,779,800599.3825,0.96534018,0.022728029,0.061204695,0.418808957
"13","101_2","0",9.82903336661118,788,888376.2797,0.922588832,0.01166909,0.081742239,0.191571924
"14","101_3","0",9.31316768177565,734,839953.707,0.945504087,0.031451948,0.119426938,0.673929108
"15","101_4","0",9.92309408217505,865,1354567.736,0.942196532,0.059534188,0.05865278,0.330344586
"16","101_5","0",9.6825914737624,696,978310.1348,0.887931034,0.019937417,0.213437345,0.248131741
"17","101_6","0",9.81836529911929,907,976548.0625,0.926130099,0.007786707,0.046620762,0.159942002
"18","101_7","0",9.48842655075452,690,627293.1991,0.937681159,0.002779775,0.033432653,0.396369546
"19","102_1","0",9.09840271873532,739,597324,0.933694181,0.021071872,0.032218765,0.570644551
"20","102_2","0",8.97966855424118,1120,2097111.528,0.96875,0.023985932,0.297657177,0.614451111
"21","102_3","0",9.27491014262548,1328,1182101.698,0.964608434,0.035294302,0.014430817,0.642096795
"22","103_1","0",9.81482025981996,1387,1806511.391,0.937995674,0.095227473,0.058092835,0.343718747
"23","103_2","0",9.73571957674968,1062,1217942.229,0.942561205,0.041813867,0.072590994,0.316469432
"24","104_1","0",10.19653023123,535,740957.7731,0.951401869,0.067343746,0.01862177,0.449822412
"25","104_2","0",9.98095772330303,725,670044.5604,0.943448276,0.025554261,0.006853145,0.35291173
"26","104_3","1",9.64478158832086,1146,1764642.085,0.953752182,0.078636279,0.052466425,0.371244501
"27","104_4","0",9.40285975374658,926,1898574.977,0.859611231,0.026893674,0.397977626,0.300496942
"28","105_1","0",9.08500388066489,295,1090439.167,0.938983051,0.15732639,0.257979531,0.423368819
"29","105_2","0",9.17843682296317,1997,2978910.73,0.91987982,0.058806587,0.120108128,0.524961546
"30","105_3","0",9.79807147977948,1454,3001285.581,0.927097662,0.036581763,0,0.370181819
"31","106_1","1",9.29917508567667,677,1213741.705,0.859675037,0.189079553,0.065966985,0.472351994
"32","106_2","1",9.37398866350452,799,1639766.887,0.931163955,0.109813012,0.236318309,0.543993812
"33","107_1","0",8.88571765171212,595,822055.162,0.949579832,0.105272382,0.018219436,0.605084257
"34","107_2","1",9.22355270344832,1177,2077598.973,0.930331351,0.107644406,0.198365257,0.386283109
"35","107_3","0",9.27105910701089,662,718505.4744,0.944108761,0.055590008,0.034631958,0.40754309
